Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-01,1.53
2016-01-16,5.40
2016-01-24,5.19
2016-02-25,2.94
2016-03-05,4.55
2016-03-24,4.04
2016-03-27,3.43
2016-04-17,6.44
2016-04-19,6.74
2016-05-01,3.81
2016-05-09,8.72
2016-06-17,4.30
2016-07-12,1.92
2016-07-13,0.85
2016-08-07,0.00
2016-10-02,0.00
2016-11-08,3.62
2016-11-14,3.23
2016-11-18,3.34
2016-11-30,2.92
2016-12-06,6.69
2016-12-08,5.23
2016-12-23,3.98
2016-12-28,2.93
2016-12-31,4.72
2017-01-03,7.44
2017-01-08,4.30
2017-02-01,5.28
2017-02-18,4.21
2017-02-24,3.16
2017-02-27,2.74
2017-03-17,2.32
2017-03-22,1.89
2017-03-23,1.88
2017-04-01,0.62
2017-04-03,0.92
2017-05-15,4.61
2017-05-22,0.00
2017-05-25,0.00
2017-05-28,8.39
2017-05-30,7.46
2017-06-01,6.99
2017-06-29,4.83
2017-07-04,3.71
2017-09-16,0.00
2017-10-04,0.00
2017-10-24,0.10
2017-11-13,0.53
2017-11-22,0.85
2017-11-30,0.96
2018-01-04,0.35
2018-01-22,1.61
2018-01-24,3.92
2018-02-05,1.40
2018-03-11,5.25
2018-03-12,5.25
2018-04-29,3.44
2018-05-04,3.13
2018-06-02,3.44
2018-07-13,1.09
2018-08-01,0.21
2018-08-16,0.35
2018-08-30,0.30
2018-10-11,0.9
2018-11-04,2.2
2018-11-11,3.4
2018-11-23,2.3
2018-11-25,2.3
2018-12-06,3.8
2018-12-07,4.5
2018-12-12,3.9
2018-12-19,1.4
2018-12-24,3.0
2018-12-25,3.0
2018-12-30,1.8
2019-01-04,3.0
2019-01-25,1.3
2019-01-26,1.7
2019-01-28,2.6
2019-02-01,2.8
2019-02-02,3.4
2019-02-20,2.9
2019-02-26,2.8
2019-03-01,5.3
2019-03-11,2.0
2019-03-22,4.2
2019-04-03,2.8
2019-04-06,4.3
2019-07-09,3.6
2019-07-20,2.6
2019-07-23,1.2
2019-07-27,1.1
2019-08-22,1.1
2019-08-24,1.1
2019-10-13,1.1
2019-10-24,0.9
2019-11-02,1.0
2019-11-26,1.0
2019-12-26,1.7
2019-12-27,1.7
2020-01-10,3.0
2020-01-17,1.7
2020-01-19,2.2
2020-01-20,1.9
2020-02-14,2.9
2020-02-27,2.5
2020-03-08,4.8
2020-03-14,3.2
2020-03-17,3.0
2020-03-19,3.3
2020-03-21,1.0
2020-03-26,3.1
2020-04-18,2.6
2020-04-24,1.9
2020-05-04,7.4
2020-06-09,3.8
2020-06-17,4.6
2020-07-22,1.2
2020-08-03,0.8
2020-08-11,1.1
2020-08-30,0.4
2020-09-19,0.0
2020-11-29,1.4
2020-11-30,2.4
2020-12-17,2.0
